,invoice_no,invoice_amount
742,490905,656.85
748,490925,648.5
754,490933,2452.56
756,490937,2285.58
759,490941,644.52
766,490953,966.6600000000001
769,490956,2442.7200000000003
770,490957,3796.37
775,490962,683.14
776,490963,4646.49
781,490972,728.0500000000001
808,491041,4475.84
810,491043,4725.7699999999995
816,491049,748.9
822,491056,1007.74
834,491068,700.4
846,491082,1273.5
854,491091,3249.32
855,491092,844.12
856,491093,1445.56
866,491104,1552.9
875,491113,893.33
883,491122,601.6
886,491125,966.24
904,491144,873.48
908,491148,3882.66
911,491151,661.16
915,491155,5596.15
922,491165,737.7
927,491172,730.59
931,491176,1213.02
938,491183,945.58
947,491193,762.98
949,491195,658.5
959,491205,1391.91
963,491210,785.62
964,491211,1766.28
965,491212,873.61
969,491240,936.26
971,491314,1505.4
972,491317,683.91
976,491321,844.45
992,491403,616.53
994,491406,792.02
998,491422,864.8900000000001
1001,491426,917.76
1004,491431,1980.0
1013,491440,1350.0
1020,491449,1641.9
1021,491450,634.88
1026,491456,11016.0
1028,491462,718.83
1032,491468,1107.95
1035,491497,899.64
1043,491570,811.76
1051,491612,849.9399999999999
1055,491625,615.3
1063,491635,1323.86
1065,491637,638.52
1071,491643,1056.86
1074,491646,641.51
1092,491665,1184.6100000000001
1097,491670,650.88
1117,491692,856.78
1122,491698,1014.54
1148,491726,1081.66
1154,491734,950.0
1156,491736,756.51
1158,491738,1286.43
1160,491743,597.56
1174,491757,705.5999999999999
1178,491780,615.22
1180,491784,675.05
1181,491800,5259.17
1182,491803,698.61
1184,491805,1350.81
1188,491810,619.67
1190,491812,13854.2
1194,491816,1550.07
1197,491826,850.8299999999999
1211,491888,626.0
1213,491894,1126.81
1215,491924,700.83
1216,491935,689.71
1220,491951,926.31
1222,491953,2308.5
1229,491960,659.4
1230,491961,1456.2
1234,491966,6342.48
1237,491969,6141.9400000000005
1238,491970,4588.33
1239,491971,4351.79
1247,491979,891.41
1262,491996,1337.0
1270,492004,847.0
1271,492005,2320.2000000000003
1277,492012,675.12
1279,492015,1413.34
1289,492051,870.84
1292,492073,1500.46
1300,492092,698.2
1301,492098,2343.72
1303,492117,1021.53
1306,492133,1737.2
1310,492169,823.8100000000001
1318,492177,598.2
1324,492185,960.0
1326,492202,774.21
1335,492216,939.21
1343,492224,801.3
1344,492225,1084.08
1345,492226,3251.87
1355,492236,2156.0
1356,492237,3480.0
1360,492241,969.66
1364,492246,1226.79
1369,492251,825.32
1372,492269,855.45
1388,492303,4398.65
1396,492321,1181.5
1401,492342,1221.97
1402,492347,1209.58
1408,492358,1750.43
1417,492367,618.79
1431,492387,1088.8
1441,492406,597.5
1445,492410,781.1
1448,492414,6034.71
1449,492415,904.3799999999999
1452,492418,3416.7200000000003
1458,492425,4908.06
1462,492429,1425.3
1472,492439,1952.64
1478,492445,1594.85
1480,492448,699.08
1492,492518,809.62
1524,492579,1707.48
1530,492585,754.75
1536,492592,799.3
1543,492635,729.12
1547,492644,950.04
1551,492650,803.25
1568,492710,608.4
1576,492720,896.8499999999999
1579,492724,8370.08
1583,492728,622.48
1590,492735,668.65
1593,492738,1010.55
1594,492740,1839.5999999999997
1596,492742,1636.43
1603,492749,757.45
1607,492753,779.04
1610,492757,804.94
1612,492761,664.65
1613,492762,914.24
1624,492773,914.16
1632,492781,646.3000000000001
1633,492782,5534.15
1634,492783,4117.06
1656,492806,756.15
1660,492810,602.4000000000001
1663,492813,622.65
1669,492819,913.1500000000001
1675,492830,975.06
1681,492837,633.22
1683,492839,673.12
1686,492842,607.0
1696,492943,7112.68
1702,492950,801.4300000000001
1722,493073,2898.36
1723,493074,1680.6
1727,493079,4304.38
1777,493181,3284.88
1850,493257,1072.44
1851,493258,2872.04
1852,493260,2405.62
1856,493265,851.91
1864,493273,776.52
1874,493283,623.65
1901,493325,701.1999999999999
1902,493326,799.9200000000001
1910,493372,643.7
1915,493393,2565.83
1917,493395,2583.23
1921,493399,879.72
1923,493404,1220.55
1928,493409,612.0
1937,493434,1021.0200000000001
1938,493435,797.65
1939,493436,3000.2400000000002
1940,493437,758.4000000000001
1942,493439,2021.72
1980,493537,660.0
1988,493568,644.58
2002,493667,974.39
2005,493670,614.05
2006,493671,757.1
2008,493685,906.23
2010,493696,2054.79
2015,493701,714.05
2016,493702,1600.0
2017,493703,1560.0
2020,493706,848.75
2022,493708,980.63
2029,493719,627.91
2032,493722,1640.58
2034,493739,689.8199999999999
2036,493757,635.85
2038,493759,754.81
2040,493761,2179.08
2042,493765,1390.52
2043,493793,750.0
2045,493796,2287.2
2047,493798,1377.8799999999999
2048,493799,2427.6
2049,493800,854.72
2051,493802,935.5500000000001
2056,493812,3677.9
2063,493819,44051.6
2073,493840,614.5
2074,493841,699.83
2084,493863,2130.3
2085,493865,1251.7
2092,493877,2388.82
2097,493882,680.22
2098,493883,3528.0
2100,493885,6624.0
2102,493887,760.02
2103,493897,780.52
2105,493900,780.52
2107,493923,702.5500000000001
2119,493948,1104.25
2121,493950,740.63
2126,493955,1190.46
2133,493962,673.0
2135,493964,1970.19
2137,493968,691.04
2138,493969,1007.7800000000001
2144,493975,760.24
2147,493978,1276.23
2149,493980,601.8000000000001
2150,493981,3654.38
2154,493987,716.4300000000001
2156,493989,1192.9
2159,493993,635.88
2160,493994,5520.0
2161,493995,2699.44
2177,494011,1620.75
2178,494012,1427.05
2180,494014,1256.8899999999999
2181,494015,1098.9
2182,494016,3266.5699999999997
2183,494017,2434.17
2184,494018,1776.43
2185,494019,1298.18
2188,494022,1980.0
2199,494036,595.0
2204,494042,975.11
2210,494108,858.27
2216,494120,1642.5
2222,494143,881.2
2223,494144,1696.06
2226,494147,1918.71
2227,494148,803.76
2229,494150,726.6
2239,494161,833.94
2244,494166,1923.2
2254,494210,731.52
2256,494212,690.52
2258,494214,1579.72
2262,494227,658.95
2264,494229,1218.8
2268,494233,1254.56
2270,494235,643.5
2274,494240,665.1
2276,494243,18532.3
2277,494244,6711.0
2307,494277,1335.92
2308,494278,708.2
2310,494280,854.35
2327,494354,1273.5
2328,494357,1383.4099999999999
2331,494364,748.91
2337,494378,3163.8
2338,494379,2300.09
2340,494381,2774.61
2341,494382,1823.1299999999999
2345,494386,3447.0099999999998
2346,494387,2045.8899999999999
2354,494395,953.5
2358,494432,1240.0
2367,494442,671.9300000000001
2378,494459,925.85
2383,494471,1639.1200000000001
2384,494473,859.27
2387,494478,975.76
2388,494479,858.25
2389,494480,855.9
2391,494482,1131.62
2392,494483,939.4
2396,494495,2336.36
2407,494511,1075.27
2410,494514,694.2
2411,494515,2370.7799999999997
2440,494619,738.1800000000001
2456,494639,975.0
2458,494641,1568.87
2460,494643,1936.74
2464,494647,1185.81
2467,494651,685.9
2482,494666,1258.38
2486,494670,608.75
2494,494678,3151.0
2501,494685,2490.99
2505,494732,658.73
2510,494780,838.75
2512,494782,3213.7
2514,494784,2222.2
2516,494786,1385.23
2537,494814,3354.23
2548,494866,676.4
2550,494868,1537.31
2551,494870,673.15
2552,494871,740.76
2554,494873,715.5
2556,494875,4448.09
2563,494891,1130.22
2565,494893,940.74
2567,494895,724.13
2572,494900,684.48
2577,494912,1376.46
2579,494914,771.641
2580,494915,972.44
2583,494918,7986.86
2584,494919,1352.4
2592,494931,1135.01
2596,494987,777.53
2610,495020,846.46
2615,495030,835.45
2619,495055,756.85
2620,495056,756.85
2629,495070,5750.76
2631,495072,833.52
2632,495073,3590.07
2646,495102,686.22
2663,495183,1210.43
2665,495185,2507.06
2672,495194,6989.4
2703,495228,8951.24
2704,495229,1222.32
2705,495230,724.92
2706,495232,1193.89
2708,495235,1193.89
2709,495236,812.44
2712,495239,4850.93
2717,495244,920.95
2718,495276,1075.3000000000002
2721,495279,597.44
2734,495300,1120.46
2738,495304,701.55
2741,495307,908.14
2743,495310,1807.98
2750,495317,787.35
2763,495331,614.1899999999999
2771,495340,982.83
2773,495343,2550.86
2788,495358,924.64
2789,495359,1018.98
2792,495362,950.72
2829,495401,627.77
2832,495404,1432.02
2834,495406,2047.72
2848,495467,1051.92
2849,495487,772.87
2850,495488,627.4300000000001
2853,495504,617.97
2857,495508,1025.46
2860,495512,616.1800000000001
2866,495530,730.9399999999999
2882,495546,818.01
2888,495574,1460.37
2900,495591,18570.88
2942,495686,633.25
2947,495699,1834.14
2957,495710,630.79
2959,495712,781.52
3009,495798,5117.03
3013,495804,1975.97
3014,495805,966.77
3022,495815,595.95
3034,495880,1019.9999999999999
3049,495906,4385.71
3050,495907,602.3
3051,495908,854.8
3060,495919,823.15
3061,495920,770.15
3066,495928,1072.4
3069,495936,1356.63
3076,495945,1025.87
3081,495951,1476.73
3082,495952,1824.6200000000001
3083,495953,1619.98
3084,495954,911.4399999999999
3086,495956,654.0
3104,496008,1034.67
3108,496013,665.24
3116,496024,873.44
3120,496047,842.82
3124,496058,846.8100000000001
3126,496060,630.32
3128,496062,808.15
3138,496073,795.68
3152,496089,676.5
3156,496093,909.5
3159,496096,777.9
3167,496115,8985.6
3183,496204,869.88
3189,496222,664.001
3195,496237,2646.4
3200,496247,1258.75
3207,496288,782.26
3208,496290,1643.94
3216,496299,694.5
3218,496301,696.45
3225,496308,973.8199999999999
3226,496309,732.2
3247,496334,1026.3799999999999
3253,496340,1755.74
3254,496341,1614.3899999999999
3267,496355,730.0799999999999
3303,496443,793.92
3305,496445,759.1
3311,496463,818.19
3313,496465,708.7
3315,496467,818.19
3325,496480,603.8
3329,496487,1636.02
3332,496490,1100.94
3337,496502,1023.6
3345,496510,740.43
3347,496513,737.22
3349,496516,594.75
3353,496520,1445.67
3354,496528,674.4
3356,496530,623.78
3357,496534,777.4
3359,496564,608.5
3366,496584,608.5
3373,496592,849.86
3375,496594,1332.34
3378,496597,1399.92
3380,496611,1970.76
3381,496612,907.4
3382,496613,664.8000000000001
3384,496615,1380.3
3385,496616,714.21
3391,496623,598.91
3393,496625,595.58
3394,496626,1045.45
3410,496643,1143.421
3432,496703,931.43
3433,496704,652.65
3435,496706,710.65
3498,496773,687.08
3522,496800,1664.59
3523,496801,1128.35
3524,496802,704.5500000000001
3542,496822,606.3
3543,496829,965.78
3567,496867,625.0
3569,496869,662.4
3582,496882,686.03
3595,496900,1728.58
3610,496915,701.51
3637,496945,1042.88
3639,496947,832.48
3666,496974,1138.84
3671,496979,1263.85
3682,496990,1328.77
3686,496994,1653.76
3697,497006,674.64
3714,497027,982.26
3737,497124,661.34
3759,497157,5206.5
3761,497166,1160.01
3790,497201,987.64
3805,497217,7497.64
3814,497227,1690.32
3824,497238,748.98
3834,497251,611.54
3839,497256,604.1
3877,497353,1718.75
3878,497354,998.4
3884,497360,1885.61
3886,497362,1701.66
3888,497364,651.41
3893,497369,668.15
3901,497378,742.38
3904,497382,632.02
3906,497384,892.72
3924,497402,1460.7
3937,497493,1127.77
3943,497499,988.04
3968,497590,2205.7
3969,497591,1244.9
3970,497592,1402.43
4003,497636,636.9
4043,497716,660.0
4066,497740,738.86
4076,497795,935.8299999999999
4086,497812,682.79
4131,497873,1639.8
4135,497879,662.25
4140,497884,687.4
4141,497885,736.44
4149,497894,762.69
4159,497906,881.86
4165,497912,699.93
4166,497913,1585.18
4169,497916,866.99
4174,497921,770.93
4179,497926,762.48
4182,497931,1709.0
4183,497932,712.39
4186,497935,1486.0610000000001
4188,497937,2805.0
4190,497941,897.0
4192,497943,1381.95
4195,497946,16973.1
4196,497947,1508.65
4197,497948,1009.9399999999999
4198,497949,1331.22
4200,497952,1508.65
4203,497955,1212.5
4206,497958,1100.72
4222,498019,1482.95
4229,498027,623.9300000000001
4237,498035,1083.01
4246,498045,931.72
4248,498047,962.99
4250,498049,1384.02
4251,498052,1677.42
4290,498091,745.47
4295,498097,774.6
4302,498104,927.27
4303,498105,1348.08
4309,498114,3019.35
4325,498133,4367.3
4326,498134,1089.07
4331,498139,672.1
4334,498143,596.48
4342,498152,2836.7999999999997
4351,498161,3157.06
4353,498163,2947.1
4356,498213,968.78
4367,498249,2329.48
4371,498261,869.82
4378,498283,595.0
4383,498290,610.5600000000001
4388,498301,673.12
4415,498362,1910.96
4421,498379,941.57
4429,498395,9695.16
4430,498396,1474.1000000000001
4432,498398,3788.34
4442,498431,1038.09
4444,498433,838.15
4445,498434,2160.72
4451,498440,6412.0
4452,498441,1860.44
4454,498443,1337.2
4455,498444,1585.45
4457,498446,1564.28
4458,498447,619.86
4482,498504,612.5
4487,498511,717.62
4489,498513,897.0300000000001
4492,498517,896.73
4495,498521,613.78
4507,498548,976.01
4508,498549,1897.46
4524,498569,986.8
4538,498589,1609.1000000000001
4554,498618,1632.93
4562,498642,826.15
4570,498696,995.21
4578,498705,743.4
4589,498716,1420.3500000000001
4593,498720,737.5600000000001
4594,498721,684.8
4596,498723,3360.0
4597,498724,2685.54
4601,498728,950.4899999999999
4602,498729,1310.3000000000002
4619,498756,1110.48
4622,498759,881.52
4629,498768,759.32
4630,498769,1036.6399999999999
4635,498774,638.57
4637,498776,887.4
4638,498778,654.12
4640,498780,1793.46
4643,498827,778.6800000000001
4648,498850,637.4399999999999
4651,498853,850.0
4686,498890,611.42
4692,498903,1033.55
4694,498905,605.91
4699,498910,4010.08
4707,498921,1006.2900000000001
4713,498928,4168.98
4716,498931,2087.68
4719,498934,899.0
4720,498935,892.65
4721,498936,1087.52
4722,498939,1087.52
4726,498943,1087.52
4728,498945,1087.52
4733,499009,675.74
4734,499010,706.35
4735,499011,704.4
4742,499029,725.76
4746,499033,1022.6
4749,499036,664.92
4750,499038,654.82
4751,499039,1112.2
4778,499067,1834.8400000000001
4783,499073,1542.82
4819,499165,597.76
4821,499167,1132.8000000000002
4822,499168,746.9
4824,499170,4376.25
4830,499176,5710.32
4844,499231,801.8199999999999
4845,499232,1191.6200000000001
4846,499234,869.5600000000001
4849,499237,986.64
4857,499246,2011.51
4859,499248,1537.43
4869,499267,2320.03
4879,499284,936.28
4883,499297,5158.4
4884,499298,4122.0
4885,499299,2448.0
4888,499303,648.0
4899,499314,1568.67
4914,499387,766.59
4915,499388,705.0
4917,499399,3537.821
4923,499405,707.8100000000001
4934,499422,2311.42
4954,499469,679.9200000000001
4959,499474,693.16
4966,499481,658.5
4971,499486,1422.78
4973,499488,633.45
4976,499494,873.12
4982,499500,669.01
4997,499517,629.39
5000,499520,796.4
5001,499521,2377.38
5003,499523,1945.8
5004,499524,1943.52
5022,499601,605.4
5040,499619,2135.46
5042,499624,669.71
5043,499625,607.52
5056,499638,1848.54
5069,499664,1189.34
5086,499681,1626.4
5088,499683,1464.28
5090,499685,1562.94
5095,499692,659.34
5097,499752,731.72
5109,499765,2734.43
5113,499769,1518.8
5122,499780,633.6800000000001
5123,499781,644.25
5128,499789,2544.2000000000003
5131,499797,599.3
5180,499858,1979.96
5189,499874,737.4300000000001
5193,499878,7720.6
5203,499891,604.0
5207,499897,1730.74
5212,499912,599.5699999999999
5218,499921,991.62
5226,499960,815.79
5227,499961,1085.01
5230,499965,776.65
5232,499967,1311.45
5233,499968,1647.63
5234,499969,664.54
5237,499972,773.79
5244,499980,2204.73
5258,499997,758.38
5267,500010,815.32
5268,500012,620.54
5269,500014,1449.74
5279,500025,751.8
5289,500091,2332.04
5295,500098,718.21
5302,500114,635.0
5305,500117,663.96
5306,500118,955.5
5311,500123,743.62
5314,500126,2985.5
5316,500129,610.54
5328,500144,604.33
5350,500169,1211.76
5353,500172,807.12
5354,500173,5525.28
5356,500175,750.28
5361,500198,721.46
5365,500232,2640.0
5396,500267,599.12
5422,500293,638.5600000000001
5428,500300,621.15
5442,500320,679.04
5458,500336,619.04
5468,500347,596.67
5473,500353,1966.84
5476,500356,1816.98
5478,500358,635.9
5496,500376,703.1999999999999
5507,500389,2133.16
5509,500400,2394.0
5515,500450,651.18
5519,500454,1095.0
5526,500461,2101.69
5527,500462,3144.0299999999997
5528,500472,2362.74
5534,500498,1334.27
5538,500502,848.7
5554,500538,695.84
5579,500567,1509.6000000000001
5585,500574,693.26
5586,500575,3022.77
5594,500583,858.08
5598,500587,766.94
5609,500653,689.45
5611,500655,1691.16
5618,500662,769.56
5643,500695,1927.44
5645,500699,745.94
5652,500712,1119.48
5655,500715,1290.81
5670,500741,1108.85
5672,500744,602.76
5675,500747,655.92
5676,500749,2017.3600000000001
5677,500751,3176.34
5683,500781,649.22
5686,500788,665.38
5689,500827,2163.04
5707,500861,1012.4
5709,500863,720.72
5722,500878,754.95
5723,500879,612.7
5734,500891,2286.2999999999997
5741,500902,715.42
5742,500903,2655.96
5757,500918,2956.62
5760,500921,611.84
5767,500943,760.38
5773,500973,597.48
5779,500998,1609.01
5786,501006,3425.2599999999998
5787,501007,865.45
5790,501010,848.03
5809,501039,1019.3100000000001
5812,501043,917.5600000000001
5815,501046,612.0
5816,501047,1780.9
5818,501049,5089.72
5820,501080,2566.29
5829,501102,615.61
5830,501103,795.5
5846,501119,728.88
5848,501123,604.74
5851,501127,638.75
5854,501132,986.75
5855,501133,807.22
5869,501148,1968.98
5879,501158,717.23
5882,501161,3190.65
5894,501176,830.871
5904,501201,718.68
5907,501256,879.6
5908,501257,972.0
5915,501268,607.35
5916,501272,851.16
5925,501281,819.24
5927,501284,1182.35
5941,501300,1881.27
5942,501301,661.04
5944,501303,807.2
5947,501306,2355.16
5948,501307,1436.72
5956,501345,1155.02
5960,501386,985.44
5972,501434,754.26
5976,501440,1442.57
5977,501441,1413.33
5980,501444,1842.88
5981,501445,706.2
5993,501473,4607.3
5995,501475,1493.77
6000,501480,864.0
6002,501483,1448.64
6004,501485,975.0
6010,501523,818.29
6015,501528,746.9399999999999
6017,501530,1607.04
6021,501534,6866.3
6026,501541,1225.2
6030,501545,2917.7599999999998
6033,501548,1466.31
6035,501550,1189.01
6040,501556,1050.56
6042,501558,964.51
6051,501569,1328.04
6055,501573,595.1
6056,501574,724.89
6057,501575,1321.55
6059,501577,1253.1399999999999
6060,501578,1922.1000000000001
6061,501611,1835.0
6064,501614,3137.85
6078,501628,782.56
6081,501638,1048.08
6083,501640,656.25
6086,501645,627.74
6102,501663,1155.48
6103,501664,618.36
6106,501667,906.82
6122,501685,4580.0
6123,501686,1575.03
6127,501691,663.6
6146,501713,1048.76
6147,501714,698.45
6148,501715,959.7
6153,501729,1248.48
6156,501732,704.58
6157,501766,6958.17
6158,501767,728.37
6159,501768,6958.17
6161,501772,5795.87
6164,501778,934.66
6166,501789,653.01
6167,501790,1263.36
6173,501800,595.8000000000001
6180,501810,1055.51
6193,501828,606.45
6196,501832,1918.24
6199,501836,824.4
6207,501845,604.65
6220,501860,746.98
6230,501871,658.0
6232,501874,2613.62
6254,501897,758.74
6256,501899,1089.98
6260,501904,917.6999999999999
6261,501906,1073.75
6262,501907,872.9399999999999
6271,501918,2545.44
6275,501922,1021.37
6277,501925,988.0400000000001
6278,501926,851.96
6282,501930,782.4499999999999
6287,501938,1183.8
6307,502030,2259.82
6315,502038,623.6899999999999
6318,502055,1523.77
6323,502060,630.72
6331,502090,1497.97
6334,502094,628.0799999999999
6351,502111,777.91
6354,502118,1327.98
6358,502192,869.27
6365,502234,677.38
6375,502245,1017.43
6378,502248,1537.69
6385,502257,597.3
6390,502263,10953.5
6391,502265,10953.5
6393,502267,1900.0
6395,502269,10000.0
6396,502271,1144.73
6401,502277,779.32
6410,502300,2509.8999999999996
6411,502301,877.1800000000001
6414,502314,762.6800000000001
6424,502326,1885.3700000000001
6428,502333,2300.4
6436,502393,1020.48
6448,502423,1083.05
6453,502429,1201.52
6468,502451,901.79
6470,502455,782.56
6484,502486,2610.7799999999997
6489,502491,828.8
6497,502499,1009.6700000000001
6502,502525,2779.34
6504,502532,2640.0
6506,502535,937.54
6513,502582,1899.67
6517,502588,867.04
6518,502589,1598.67
6524,502595,736.1
6527,502598,766.52
6531,502605,726.32
6536,502610,1103.85
6539,502613,885.14
6545,502619,1834.1
6552,502631,1834.14
6565,502648,935.36
6585,502669,724.25
6589,502673,833.2
6593,502692,1708.1999999999998
6594,502716,914.17
6596,502723,870.0
6612,502746,2593.7599999999998
6613,502747,798.5500000000001
6624,502758,4865.7
6625,502759,3208.44
6626,502760,816.0
6630,502764,2021.23
6633,502771,2585.75
6646,502784,780.92
6664,502820,941.42
6667,502823,1290.28
6670,502826,722.1700000000001
6677,502833,924.5400000000001
6683,502839,1017.96
6687,502843,656.72
6688,502844,1031.3700000000001
6692,502848,742.41
6696,502853,826.87
6706,502863,1162.95
6713,502870,1406.43
6715,502872,2309.11
6719,502876,1110.0
6720,502877,861.5999999999999
6723,502882,890.4000000000001
6724,502883,2121.36
6725,502884,637.11
6727,502886,749.28
6728,502887,7090.8
6729,502888,1652.4
6739,502901,940.52
6742,502906,1045.44
6763,502954,848.6800000000001
6764,502968,728.39
6776,502991,918.5
6798,503061,22853.77
6803,503066,630.35
6804,503067,1430.37
6806,503069,905.16
6808,503071,702.32
6814,503135,1065.12
6822,503151,2429.42
6826,503155,1104.94
6833,503163,1652.22
6835,503165,1180.92
6844,503178,673.28
6845,503179,684.12
6848,503183,1254.22
6850,503185,4977.74
6851,503186,6051.45
6856,503192,1038.35
6858,503194,750.0
6865,503226,976.08
6903,503334,612.0
6918,503349,1576.18
6921,503352,1400.26
6922,503353,1062.8400000000001
6925,503356,617.06
6943,503397,1262.75
6945,503401,2174.84
6947,503426,2964.58
6949,503428,1939.8
6951,503430,817.25
6955,503434,651.48
6960,503439,627.8
6964,503444,632.28
6966,503447,700.47
6984,503503,714.0
7001,503532,727.49
7011,503542,2831.66
7015,503547,864.8
7017,503549,2047.69
7053,503591,1505.89
7064,503603,721.8
7067,503606,1275.6
7070,503609,819.42
7072,503612,1008.0
7107,503712,649.91
7115,503721,1471.86
7116,503723,1076.46
7122,503731,598.04
7124,503766,680.04
7133,503782,789.75
7134,503783,1015.48
7135,503784,1187.9
7139,503790,1017.6
7141,503795,614.63
7149,503804,823.4
7150,503805,1154.4
7152,503807,3068.68
7153,503808,785.26
7154,503809,1117.64
7155,503810,2213.2000000000003
7159,503814,1700.16
7168,503823,1981.51
7173,503828,636.6
7176,503831,1103.8
7178,503833,874.84
7179,503834,1749.68
7180,503835,874.84
7181,503836,874.84
7192,503849,907.1
7193,503850,1231.94
7194,503851,816.0
7195,503852,1383.6
7201,503859,1623.8
7203,503861,696.03
7206,503864,632.66
7208,503868,855.35
7209,503869,1239.83
7211,503871,4607.5
7223,503907,4614.18
7230,503927,894.0
7232,503929,1444.05
7238,503936,1183.38
7242,503940,3049.34
7257,503955,3242.22
7259,503959,992.64
7276,503979,708.76
7277,503980,646.8
7281,503985,1888.31
7283,503987,933.8
7287,503991,762.28
7291,503995,716.46
7296,504020,613.0999999999999
7297,504026,728.5
7309,504100,1326.3
7331,504122,776.29
7337,504130,728.8
7339,504132,1262.88
7342,504135,1057.3600000000001
7344,504137,1149.58
7346,504139,707.78
7347,504140,856.23
7353,504146,2969.6
7354,504147,684.96
7357,504150,612.81
7368,504161,764.64
7370,504163,635.5
7372,504165,1844.19
7373,504166,2318.4
7385,504203,739.2
7386,504204,926.82
7394,504217,1160.66
7395,504232,886.1800000000001
7396,504234,1704.72
7397,504244,1770.44
7398,504257,701.97
7402,504313,1184.18
7412,504332,2622.481
7415,504336,2139.4
7417,504338,755.8199999999999
7432,504386,662.88
7439,504409,1788.7
7442,504412,747.09
7448,504426,695.96
7449,504427,823.39
7455,504436,9325.28
7456,504437,720.34
7469,504451,1033.5
7478,504462,924.1700000000001
7485,504473,611.7
7490,504478,863.64
7496,504498,6631.2699999999995
7497,504508,1545.38
7501,504532,713.13
7504,504536,596.0600000000001
7505,504542,2113.68
7509,504550,1954.99
7510,504551,660.0
7511,504552,595.55
7515,504556,627.18
7522,504572,705.49
7524,504574,1167.8799999999999
7536,504587,1563.06
7559,504635,746.33
7562,504639,5843.7
7563,504640,638.52
7564,504642,773.5
7568,504646,618.55
7572,504667,2451.26
7591,504692,735.64
7609,504712,841.62
7611,504714,1125.44
7612,504715,3720.24
7613,504716,651.9100000000001
7616,504730,1031.3
7619,504766,1336.03
7637,504836,752.28
7639,504838,595.54
7644,504846,902.16
7648,504851,1354.3999999999999
7654,504857,938.63
7665,504868,739.25
7668,504871,642.75
7669,504872,772.35
7671,504874,1503.45
7672,504875,753.6500000000001
7676,504879,2142.4
7679,504882,596.7
7681,504884,957.3199999999999
7687,504890,599.4399999999999
7689,504893,737.03
7697,504902,734.91
7704,504909,881.48
7705,504910,618.54
7708,504913,754.5
7710,504915,764.38
7711,504916,2291.74
7713,504918,2753.11
7714,504919,1212.13
7715,504920,1047.0
7716,504921,1392.1299999999999
7719,504924,1372.05
7720,504925,756.32
7723,504928,2970.6000000000004
7727,504933,3170.85
7729,504935,1927.4199999999998
7730,504936,1243.42
7732,504938,746.01
7739,505004,1335.02
7746,505012,1108.95
7747,505013,754.5
7750,505016,1554.86
7753,505019,1021.04
7755,505023,689.46
7760,505051,863.2
7762,505056,989.63
7771,505066,800.98
7782,505077,967.72
7794,505089,1076.5
7796,505142,603.08
7799,505146,907.44
7800,505147,703.22
7803,505150,4217.59
7820,505172,645.5
7824,505176,736.88
7833,505185,680.91
7837,505189,629.58
